Index,Intensidade,Tempo
0,21.0,16:35:38.894817
1,19.0,16:35:39.144638
2,22.0,16:35:39.394233
3,22.0,16:35:39.644045
4,19.0,16:35:39.893560
5,19.0,16:35:40.144016
6,20.0,16:35:40.393866
7,20.0,16:35:40.643715
8,22.0,16:35:40.893565
9,21.0,16:35:41.143050
10,21.0,16:35:41.392454
11,21.0,16:35:41.642862
12,21.0,16:35:41.896971
13,20.0,16:35:42.146863
14,21.0,16:35:42.396693
15,21.0,16:35:42.646537
16,20.0,16:35:42.896388
17,19.0,16:35:43.146223
18,20.0,16:35:43.396063
19,22.0,16:35:43.645963
20,20.0,16:35:43.895763
21,22.0,16:35:44.145610
22,19.0,16:35:44.395374
23,22.0,16:35:44.644901
24,19.0,16:35:44.894472
25,20.0,16:35:45.144883
26,22.0,16:35:45.398852
27,21.0,16:35:45.648661
28,19.0,16:35:45.898556
29,20.0,16:35:46.148406
30,21.0,16:35:46.398371
31,21.0,16:35:46.648106
32,22.0,16:35:46.897955
33,21.0,16:35:47.147782
34,21.0,16:35:47.397630
35,22.0,16:35:47.647482
36,21.0,16:35:47.897277
37,22.0,16:35:48.147022
38,20.0,16:35:48.396520
39,20.0,16:35:48.646473
40,21.0,16:35:48.900752
41,18.0,16:35:49.150602
42,21.0,16:35:49.400452
43,21.0,16:35:49.649860
44,19.0,16:35:49.899734
45,21.0,16:35:50.149790
46,19.0,16:35:50.399846
47,21.0,16:35:50.649651
48,20.0,16:35:50.899501
49,20.0,16:35:51.148722
50,21.0,16:35:51.399399
51,21.0,16:35:51.648264
52,20.0,16:35:51.898968
53,20.0,16:35:52.148765
54,20.0,16:35:52.402032
55,19.0,16:35:52.651881
56,21.0,16:35:52.901708
